ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,MedalBin
7978,Bryan Barnett,M,26,183,92,Canada-3,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
7978,Bryan Barnett,M,26,183,92,Canada-1,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
8264,Levente Gabriel Bartha,M,28,185,80,Romania-2,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
8372,Andreas Barucha,M,30,180,93,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
8373,Stefan Barucha,M,24,184,90,Germany-1,GER,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
8748,Alex Baumann,M,28,181,100,Switzerland-1,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,Silver,1
8748,Alex Baumann,M,28,181,100,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
9184,Timothy Beck,M,25,177,80,Netherlands,NED,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
9810,Maksim Eduardovich Belugin,M,28,197,115,Russia-2,RUS,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
9810,Maksim Eduardovich Belugin,M,28,197,115,Russia-2,RUS,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
9980,Andrej Benda,M,30,193,95,Slovakia,SVK,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10224,Stuart Benson,M,32,195,93,Great Britain-1,GBR,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10602,"Charles ""Chuck"" Berkeley",M,33,195,105,United States-2,USA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10633,Gregor Bermbach,M,28,183,95,Germany-3,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
10633,Gregor Bermbach,M,28,183,95,Germany-3,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10633,Gregor Bermbach,M,32,183,95,Germany-2,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10819,Simone Bertazzo,M,23,184,103,Italy-1,ITA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
10819,Simone Bertazzo,M,23,184,103,Italy-1,ITA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10819,Simone Bertazzo,M,27,184,103,Italy-1,ITA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
10819,Simone Bertazzo,M,27,184,103,Italy,ITA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
10819,Simone Bertazzo,M,31,184,103,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
10819,Simone Bertazzo,M,31,184,103,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
11598,Edson Luques Bindilatti,M,22,190,89,Brazil,BRA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
11598,Edson Luques Bindilatti,M,26,190,89,Brazil,BRA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
11598,Edson Luques Bindilatti,M,34,190,89,Brazil,BRA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
11815,David Bissett,M,26,179,102,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
11815,David Bissett,M,26,179,102,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
11815,David Bissett,M,30,179,102,Canada-1,CAN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
11815,David Bissett,M,30,179,102,Canada-1,CAN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,Bronze,1
11815,David Bissett,M,34,179,102,Canada-2,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
12381,Joshua Bluhm,M,19,187,95,Germany-3,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
12745,Mris Bogdanovs,M,26,186,92,Latvia-2,LAT,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
12828,Martin Bohman,M,29,180,93,Czech Republic-2,CZE,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
13876,Jrmy Bottin,M,32,186,90,Monaco,MON,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
14178,Jeremie Boutherin,M,25,175,77,France-2,FRA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
14849,Andreas Bredau,M,25,196,107,Germany-3,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15312,Raivis Broks,M,25,192,102,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15312,Raivis Broks,M,29,192,102,Latvia-2,LAT,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15489,Christian E. Brown,M,34,180,86,United States Virgin Islands,ISV,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15556,Lascelles Oneil Brown,M,27,182,100,Jamaica,JAM,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
15556,Lascelles Oneil Brown,M,31,182,100,Canada-1,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,Silver,1
15556,Lascelles Oneil Brown,M,31,182,100,Canada-1,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15556,Lascelles Oneil Brown,M,35,182,100,Canada-1,CAN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
15556,Lascelles Oneil Brown,M,35,182,100,Canada-1,CAN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,Bronze,1
15556,Lascelles Oneil Brown,M,39,182,100,Canada-1,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
15556,Lascelles Oneil Brown,M,39,182,100,Canada-2,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
15899,Colin John L. Bryce,M,27,188,NA,Great Britain-2,GBR,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
16414,Gunrs Bumbulis,M,27,178,87,Latvia-2,LAT,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
16420,Aleksandar Bundalo,M,24,205,109,Serbia,SRB,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
16937,Cory James Butner,M,32,188,102,United States-2,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
17497,Jean-Franois Calmes,M,31,185,90,Monaco,MON,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
18428,Pascal Caron,M,29,173,80,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
20164,Chen Chien-Li,M,21,175,81,Chinese Taipei,TPE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
20165,Chen Chien-Sheng,M,25,186,79,Chinese Taipei,TPE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
20172,Chen Chin-San,M,39,178,86,Chinese Taipei,TPE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
21719,Giona Manuel Cividino,M,27,188,84,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
22114,"Benjamin ""Ben"" Coakwell",M,26,178,102,Canada-3,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
22636,Allyn Condon,M,35,178,85,Great Britain,GBR,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
23286,Francesco Costa,M,28,185,90,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
23348,Loic Costerg,M,26,185,90,France,FRA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
23348,Loic Costerg,M,26,185,90,France-1,FRA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
23634,Florin Cezar Crciun,M,20,186,103,Romania,ROU,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
23634,Florin Cezar Crciun,M,20,186,103,Romania,ROU,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
23634,Florin Cezar Crciun,M,24,186,103,Romania,ROU,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
23634,Florin Cezar Crciun,M,24,186,103,Romania,ROU,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
24341,Nathan Cunningham,M,24,180,95,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
24342,Nick Cunningham,M,24,180,95,United States-3,USA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
24342,Nick Cunningham,M,24,180,95,United States-3,USA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
24342,Nick Cunningham,M,28,180,95,United States-3,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
24342,Nick Cunningham,M,28,180,95,United States-2,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
24689,Claudinei Quirino da Silva,M,35,186,88,Brazil,BRA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
25017,"Matthew John ""Matt"" Dallow",M,34,190,114,New Zealand,NZL,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
25251,Ivo Danilevi,M,31,188,107,Czech Republic-2,CZE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
25251,Ivo Danilevi,M,31,188,107,Czech Republic,CZE,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
25251,Ivo Danilevi,M,35,188,107,Czech Republic-1,CZE,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
25251,Ivo Danilevi,M,35,188,107,Czech Republic,CZE,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
25251,Ivo Danilevi,M,39,188,107,Czech Republic,CZE,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
25251,Ivo Danilevi,M,39,188,107,Czech Republic-1,CZE,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
25297,Miroslav Danov,M,22,170,85,Bulgaria,BUL,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
26633,Antonio De Sanctis,M,33,180,87,Italy-2,ITA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
26971,Lamin Ali Deen,M,32,183,100,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
26971,Lamin Ali Deen,M,32,183,100,Great Britain-2,GBR,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
27468,Luke Demetre,M,23,188,104,Canada-3,CAN,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
27469,Teodor Demetriad,M,24,191,100,Romania,ROU,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
27852,Serge Despres,M,27,188,100,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
27852,Serge Despres,M,27,188,100,Canada-2,CAN,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
28378,Intars Dcmanis,M,22,197,93,Latvia-2,LAT,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
28378,Intars Dcmanis,M,22,197,93,Latvia-2,LAT,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
28378,Intars Dcmanis,M,26,197,93,Latvia-2,LAT,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
28378,Intars Dcmanis,M,26,197,93,Latvia-2,LAT,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
28826,Marvin Dixon,M,30,175,93,Jamaica,JAM,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
29131,Shinji Doigawa,M,22,182,83,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
29131,Shinji Doigawa,M,30,182,83,Japan,JPN,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
29422,Peter Donohoe,M,38,193,96,Ireland,IRL,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
29742,Ioan Dnu Dovalciuc,M,21,186,100,Romania,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
29742,Ioan Dnu Dovalciuc,M,25,186,100,Romania,ROU,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
29972,Daumants Dreikens,M,21,193,108,Latvia-1,LAT,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
29972,Daumants Dreikens,M,21,193,108,Latvia-1,LAT,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
29972,Daumants Dreikens,M,25,193,108,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
29972,Daumants Dreikens,M,29,193,108,Latvia-1,LAT,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
29972,Daumants Dreikens,M,29,193,108,Latvia-1,LAT,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Silver,1
30108,Niki Drpi,M,22,185,87,Croatia,CRO,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
30563,Adrian Duminicel,M,21,186,96,Romania,ROU,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
30563,Adrian Duminicel,M,21,186,96,Romania,ROU,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
30563,Adrian Duminicel,M,25,186,96,Romania-1,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
30563,Adrian Duminicel,M,25,186,96,Romania,ROU,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
30855,Thomas Drr,M,31,194,102,Liechtenstein,LIE,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
30980,Dalibor uri,M,26,196,113,Serbia and Montenegro,SCG,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
30988,Dominik Dvok,M,21,192,95,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
31429,Mark Fraser Edmond,M,25,191,99,New Zealand,NZL,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
31429,Mark Fraser Edmond,M,25,191,99,New Zealand,NZL,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
31579,Jrg Egger,M,32,178,98,Switzerland-2,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
31579,Jrg Egger,M,32,178,98,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
32475,Carsten Embach,M,33,189,93,Germany-2,GER,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,Gold,1
32534,Florian Enache,M,30,178,91,Romania,ROU,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
32534,Florian Enache,M,30,178,91,Romania,ROU,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
34375,Joel Israel Fearon,M,25,178,90,Great Britain-1,GBR,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
35950,Thomas Florschtz,M,31,184,95,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver,1
35950,Thomas Florschtz,M,31,184,95,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
35950,Thomas Florschtz,M,35,184,95,Germany-2,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
35950,Thomas Florschtz,M,35,184,95,Germany-3,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
36035,"Christopher ""Chris"" Fogt",M,26,183,93,United States-2,USA,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
36035,"Christopher ""Chris"" Fogt",M,30,183,93,United States-2,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
36035,"Christopher ""Chris"" Fogt",M,30,183,93,United States-1,USA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Bronze,1
36161,Simone Fontana,M,22,183,97,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
36161,Simone Fontana,M,22,183,97,Italy,ITA,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
36509,Christophe Fouquet,M,27,180,99,France-1,FRA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
36509,Christophe Fouquet,M,31,180,99,France,FRA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
36783,Nicholas Alex Frankl,M,30,183,85,Hungary,HUN,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
37191,Francesco Friedrich,M,23,180,89,Germany-1,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
37191,Francesco Friedrich,M,23,180,89,Germany-2,GER,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,No Medal,0
38012,Stphane Galbert,M,31,180,97,France,FRA,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,No Medal,0
38316,Gang Gwang-Bae,M,36,180,95,South Korea,KOR,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,No Medal,0
39033,Tomasz Konrad Gatka,M,27,178,70,Poland,POL,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
39056,Sbastien Gattuso,M,30,180,97,Monaco,MON,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
39056,Sbastien Gattuso,M,30,180,97,Monaco,MON,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
39056,Sbastien Gattuso,M,38,180,97,Monaco,MON,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,No Medal,0
39056,Sbastien Gattuso,M,42,180,97,Monaco,MON,2014 Winter,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Two,No Medal,0
39330,"Andreas ""Andi"" Gees",M,30,183,106,Switzerland-2,SUI,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Four,No Medal,0
40574,Thibault Giroud,M,27,178,83,France-2,FRA,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
40688,Arend Dirk Glas,M,33,190,102,Netherlands,NED,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,No Medal,0
40688,Arend Dirk Glas,M,33,190,102,Netherlands,NED,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Four,No Medal,0
